CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTFIRSTNAME,CONTACTLASTNAME
La Rochelle Gifts,2155551555,"67, rue des Cinquante Otages",,San Francisco,NY,,USA,EMEA,Julie,Labrune
Corporate Gift Ideas Co.,+33 1 46 62 7555,7734 Strong St.,,Allentown,CA,70267,USA,EMEA,Michael,Brown
Diecast Classics Inc.,6505555787,7586 Pompton St.,,Allentown,NY,70267,USA,EMEA,Kyung,Yu
Vitachrome Inc.,6505551386,2678 Kingston Rd.,,Reims,NY,51100,France,,Paul,Frick
FunGiftIdeas.com,+33 1 46 62 7555,1785 First Street,,NYC,MA,59000,USA,,Martine,Benitez
La Rochelle Gifts,2155551555,1785 First Street,Suite 101,Reims,PA,75508,USA,,Daniel,Benitez
La Rochelle Gifts,2155551555,"67, rue des Cinquante Otages",,Reims,PA,51100,USA,,Paul,Labrune
Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Suite 101,San Francisco,NY,,USA,,Julie,Brown
Vitachrome Inc.,6505555787,2678 Kingston Rd.,,New Bedford,CA,50553,USA,,Violeta,Frick
Daedalus Designs Imports,2125551500,"184, chausse de Tournai",,Nantes,CA,44000,France,EMEA,Janine,Rance
Vitachrome Inc.,2125551500,2678 Kingston Rd.,,Nantes,CA,44000,France,EMEA,Janine,Frick
Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,NYC,CA,10022,USA,EMEA,Michael,Da Cunha
Reims Collectables,2155551555,59 rue de l'Abbaye,,San Francisco,CA,51100,USA,,Paul,Henriot
Lyon Souveniers,2125551500,27 rue du Colonel Pierre Avia,,Allentown,CA,70267,USA,,Kyung,Da Cunha
Daedalus Designs Imports,5085552555,"184, chausse de Tournai",,New Bedford,CA,50553,France,,Violeta,Rance
Reims Collectables,+33 1 46 62 7554,59 rue de l'Abbaye,Suite 101,Paris,CA,75508,USA,EMEA,Daniel,Henriot
La Rochelle Gifts,2155551555,"67, rue des Cinquante Otages",,Paris,CA,75508,USA,,Daniel,Labrune
Vitachrome Inc.,5085552555,2678 Kingston Rd.,,Liverpool,CA,WX1 6LT,France,EMEA,Elizabeth,Frick
Corporate Gift Ideas Co.,+33 1 46 62 7555,7734 Strong St.,,Allentown,CA,70267,USA,,Kyung,Brown
"UK Collectables, Ltd.",2155551555,Berkeley Gardens 12  Brewery,,Lille,CA,59000,France,,Martine,Devon
Mini Wheels Co.,6505555787,5557 North Pendale Street,,Nantes,CA,44000,France,EMEA,Janine,Murphy
Lyon Souveniers,2125551500,27 rue du Colonel Pierre Avia,Suite 101,Nantes,CA,44000,France,EMEA,Janine,Brown
Diecast Classics Inc.,6505551386,7586 Pompton St.,,San Francisco,PA,,USA,,Julie,Yu
Corporate Gift Ideas Co.,(171) 555-2282,7734 Strong St.,Suite 101,New Bedford,CA,50553,USA,EMEA,Violeta,Brown
"UK Collectables, Ltd.",+33 1 46 62 7554,Berkeley Gardens 12  Brewery,Suite 101,Paris,MA,75508,USA,,Daniel,Devon
Lyon Souveniers,6505555787,27 rue du Colonel Pierre Avia,,Nantes,CA,44000,France,EMEA,Janine,Da Cunha
Daedalus Designs Imports,(171) 555-2282,"184, chausse de Tournai",,Liverpool,NY,WX1 6LT,USA,EMEA,Elizabeth,Rance
FunGiftIdeas.com,2155551555,Berkeley Gardens 12  Brewery,,Reims,MA,,USA,,Paul,Devon
Mini Wheels Co.,2125551500,5557 North Pendale Street,,Liverpool,CA,WX1 6LT,France,EMEA,Elizabeth,Murphy
Reims Collectables,+33 1 46 62 7554,59 rue de l'Abbaye,,NYC,CA,59000,USA,,Martine,Henriot
